CD_CID;DS_CID;CD_SUBGRUPO;DS_SUBGRUPO;CD_GRUPO;DS_GRUPO;CD_CAPITULO;DS_CAPITULO
H054;ENOFTALMIA;H05;TRANST DA ORBITA;H00-H06;TRANSTORNOS DA PÁLPEBRA, DO APARELHO LACRIMAL E DA ÓRBITA;7;DOENÇAS DO OLHO E ANEXOS
O02;OUTR PRODUTOS ANORMAIS DA CONCEPCAO;O02;OUTR PRODUTOS ANORMAIS DA CONCEPCAO;O00-O08;GRAVIDEZ QUE TERMINA EM ABORTO;15;GRAVIDEZ, PARTO E PUERPÉRIO
C241;AMPOLA DE VATER;C24;NEOPL MALIG OUTR PARTES E NE VIAS BILIARES;C15-C26;NEOPLASIAS [TUMORES] MALIGNAS(OS) DOS ÓRGÃOS DIGESTIVOS;2;NEOPLASIAS [TUMORES]
G120;ATROFIA MUSCULAR ESPINAL INFANTIL TIPO I;G12;ATROFIA MUSCULAR ESPINAL E SINDR CORRELATAS;G10-G13;ATROFIAS SISTÊMICAS QUE AFETAM PRINCIPALMENTE O SISTEMA NERVOSO CENTRAL;6;DOENÇAS DO SISTEMA NERVOSO
X606;AREAS INDUSTRIAIS E EM CONSTRUCAO;X60;AUTO-INT INT ANALG ANTIPIR ANTI-REUM N-OPIAC;X60-X84;LESÕES AUTOPROVOCADAS INTENCIONALMENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
A921;FEBRE DE ONYONG-NYONG;A92;OUTR FEBRES VIRAIS TRANSM P/MOSQUITOS;A90-A99;FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
W79;INALACAO INGEST ALIMENT CAUS OBSTR TRAT RESP;W79;INALACAO INGEST ALIMENT CAUS OBSTR TRAT RESP;W75-W84;OUTROS RISCOS ACIDENTAIS À RESPIRAÇÃO;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Q528;OUTR MALFORM CONGEN ESPEC ORG GENITAIS FEMIN;Q52;OUTR MALFORMACOES CONGEN ORG GENITAIS FEMIN;Q50-Q56;MALFORMAÇÕES CONGÊNITAS DOS ÓRGÃOS GENITAIS;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
V863;OCUPANTE NE ACID TRANS;V86;OCUP VEIC OUTR USO N-VIA PUB TRAUM AC TRANSP;V80-V89;OUTROS ACIDENTES DE TRANSPORTE TERRESTRE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
H670;OTITE MEDIA EM DOENC BACTER COP;H67;OTITE MEDIA EM DOENC COP;H65-H75;DOENÇAS DO OUVIDO MÉDIO E DA MASTÓIDE;8;DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE
I716;ANEURISMA AORTA TORACO-ABDOM S/MENC RUPTURA;I71;ANEURISMA E DISSECCAO DA AORTA;I70-I79;DOENÇAS DAS ARTÉRIAS, DAS ARTERÍOLAS E DOS CAPILARES;9;DOENÇAS DO APARELHO CIRCULATÓRIO
A540;INF GON TR GENIT INF S/ABS PERIUR/GLAND ACES;A54;INFECC GONOCOCICA;A50-A64;INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
Y100;RESIDENCIA;Y10;ENV ANALG ANTIPIR ANTIREUM N-OPIAC INT N DET;Y10-Y34;EVENTOS (FATOS) CUJA INTENÇÃO É INDETERMINADA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
D030;MELANOMA IN SITU DO LABIO;D03;MELANOMA IN SITU;D00-D09;NEOPLASIAS [TUMORES] IN SITU;2;NEOPLASIAS [TUMORES]
K701;HEPATITE ALCOOLICA;K70;DOENC ALCOOLICA DO FIGADO;K70-K77;DOENÇAS DO FÍGADO;11;DOENÇAS DO APARELHO DIGESTIVO
E41;MARASMO NUTRICIONAL;E41;MARASMO NUTRICIONAL;E40-E46;DESNUTRIÇÃO;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
I84;HEMORROIDAS;I84;HEMORROIDAS;I80-I89;DOENÇAS DAS VEIAS, DOS VASOS LINFÁTICOS E DOS GÂNGLIOS LINFÁTICOS, NÃO CLASSIFICADAS EM OUTRA PARTE;9;DOENÇAS DO APARELHO CIRCULATÓRIO
S234;ENTORSE E DISTENSAO DAS COSTELAS E ESTERNO;S23;LUXACAO ENTORSE DISTENSAO ARTIC LIG DO TORAX;S20-S29;TRAUMATISMOS DO TÓRAX;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
C77;NEOPL MALIG SECUND E NE GANGL LINFATICOS;C77;NEOPL MALIG SECUND E NE GANGL LINFATICOS;C76-C80;NEOPLASIAS [TUMORES] MALIGNAS(OS) DE LOCALIZAÇÕES MAL DEFINIDAS, SECUNDÁRIAS E DE LOCALIZAÇÕES NÃO ESPECIFICADAS;2;NEOPLASIAS [TUMORES]
S833;RUPTURA ATUAL CARTILAGEM ARTICULACAO JOELHO;S83;LUXACAO ENTORSE DISTENSAO ART LIG JOELHO;S80-S89;TRAUMATISMOS DO JOELHO E DA PERNA;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
R398;OUTR SINT SINAIS RELATIVOS AP URINARIO E NE;R39;OUTR SINT E SINAIS RELATIVOS AP URINARIO;R30-R39;SINTOMAS E SINAIS RELATIVOS AO APARELHO URINÁRIO;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
Z42;SEGUIMENTO ENVOLV CIRURGIA PLASTICA;Z42;SEGUIMENTO ENVOLV CIRURGIA PLASTICA;Z40-Z54;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
N028;OUTR;N02;HEMATURIA RECIDIVANTE E PERSISTENTE;N00-N08;DOENÇAS GLOMERULARES;14;DOENÇAS DO APARELHO GENITURINÁRIO
T63;EFEITO TOXICO DE CONTATO C/ANIMAIS VENENOSOS;T63;EFEITO TOXICO DE CONTATO C/ANIMAIS VENENOSOS;T51-T65;EFEITOS TÓXICOS DE SUBSTÂNCIAS DE ORIGEM PREDOMINANTEMENTE NÃO MEDICINAL;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
Z004;EXAME PSIQUIATRICO GERAL NCOP;Z00;EXAME GERAL INVEST PESS S/QUEIX DIAGN RELAT;Z00-Z13;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
G374;MIELITE SUBAGUDA NECROTICA;G37;OUTR DOENC DESMIELINIZANTES SIST NERV CENTR;G35-G37;DOENÇAS DESMIELINIZANTES DO SISTEMA NERVOSO CENTRAL;6;DOENÇAS DO SISTEMA NERVOSO
V289;MOTOCICLISTA NE ACID TRANS;V28;MOTOCICLISTA TRAUM ACID TRANSP S/COLIS;V20-V29;MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
R04;HEMORRAGIA DAS VIAS RESPIRAT;R04;HEMORRAGIA DAS VIAS RESPIRAT;R00-R09;SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
Y26;EXPOSICAO FUMACA FOGO CHAMAS INTENC N DET;Y26;EXPOSICAO FUMACA FOGO CHAMAS INTENC N DET;Y10-Y34;EVENTOS (FATOS) CUJA INTENÇÃO É INDETERMINADA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Y408;OUTR ANTIBIOTICOS ADMIN P/VIA SISTEMICA;Y40;ANTIBIOTICOS SISTEMICOS;Y40-Y59;"EFEITOS ADVERSOS DE DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS USADAS COM FINALIDADE TERAPÊUTICA;EF ADVERS DROG, MEDIC E SUBST BIOLÓG FINALID TERAP";20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
K565;ADERENCIAS INTESTINAIS C/OBSTRUCAO;K56;ILEO PARALITICO E OBSTR INTESTINAL S/HERNIA;K55-K63;OUTRAS DOENÇAS DOS INTESTINOS;11;DOENÇAS DO APARELHO DIGESTIVO
Z738;OUTR PROBL RELAC ORGANIZ MODO DE VIDA;Z73;PROBLEMAS RELACIONADOS C/A ORGANIZ MODO VIDA;Z70-Z76;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
G634;POLINEUROPATIA EM DEFIC NUTRICIONAIS;G63;POLINEUROPATIA EM DOENC COP;G60-G64;POLINEUROPATIAS E OUTROS TRANSTORNOS DO SISTEMA NERVOSO PERIFÉRICO;6;DOENÇAS DO SISTEMA NERVOSO
G825;TETRAPLEGIA NE;G82;PARAPLEGIA E TETRAPLEGIA;G80-G83;PARALISIA CEREBRAL E OUTRAS SÍNDROMES PARALÍTICAS;6;DOENÇAS DO SISTEMA NERVOSO
E34;OUTR TRANST ENDOCRINOS;E34;OUTR TRANST ENDOCRINOS;E20-E35;TRANSTORNOS DE OUTRAS GLÂNDULAS ENDÓCRINAS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
W060;RESIDENCIA;W06;QUEDA DE UM LEITO;W00-W19;QUEDAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
H218;OUTR TRANST ESPEC DA IRIS E DO CORPO CILIAR;H21;OUTR TRANST DA IRIS E DO CORPO CILIAR;H15-H22;TRANSTORNOS DA ESCLERÓTICA, DA CÓRNEA, DA ÍRIS E DO CORPO CILIAR;7;DOENÇAS DO OLHO E ANEXOS
T799;COMPLIC PRECOCE NE DE TRAUM;T79;ALGUMAS COMPLIC PRECOCES DOS TRAUM NCOP;T79-T79;"ALGUMAS COMPLICAÇÕES PRECOCES DE TRAUMATISMOS;ALGUMAS COMPLICAÇÕES PRECOCES DE TRAUMATISMOS";19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
W343;AREA P/A PRATICA DE ESPORTES E ATLETISMO;W34;PROJETEIS DE OUTR ARMAS DE FOGO E DAS NE;W20-W49;EXPOSIÇÃO A FORÇAS MECÂNICAS INANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
C118;LESAO INVASIVA DA NASOFARINGE;C11;NEOPL MALIG DA NASOFARINGE;C00-C14;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO LÁBIO, CAVIDADE ORAL E FARINGE;2;NEOPLASIAS [TUMORES]
Q182;OUTR MALFORMACOES DA FENDA BRANQUIAL;Q18;OUTR MALFORMACOES CONGEN DA FACE E PESCOCO;Q10-Q18;MALFORMAÇÕES CONGÊNITAS DO OLHO, DO OUVIDO, DA FACE E DO PESCOÇO;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
S53;LUXACAO ENTORSE DISTENSAO ARTIC LIG COTOVELO;S53;LUXACAO ENTORSE DISTENSAO ARTIC LIG COTOVELO;S50-S59;TRAUMATISMOS DO COTOVELO E DO ANTEBRAÇO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
L235;DERMATITE ALERGICA CONTATO DEV OUT PROD QUIM;L23;DERMATITES ALERGICAS DE CONTATO;L20-L30;DERMATITE E ECZEMA;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
M706;BURSITE TROCANTERICA;M70;TRANST TEC MOLES RELAC USO EXCESS E PRESSAO;M70-M79;OUTROS TRANSTORNOS DOS TECIDOS MOLES;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
E55;DEFIC DE VITAMINA D;E55;DEFIC DE VITAMINA D;E50-E64;OUTRAS DEFICIÊNCIAS NUTRICIONAIS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
A009;COLERA NE;A00;COLERA;A00-A09;DOENÇAS INFECCIOSAS INTESTINAIS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
E881;LIPODISTROFIA NCOP;E88;OUTR DISTURBIOS METABOLICOS;E70-E90;DISTÚRBIOS METABÓLICOS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
O904;INSUF RENAL AGUDA DO POS-PARTO;O90;COMPLIC DO PUERPERIO NCOP;O85-O92;COMPLICAÇÕES RELACIONADAS PREDOMINANTEMENTE COM O PUERPÉRIO;15;GRAVIDEZ, PARTO E PUERPÉRIO
X975;AREAS DE COMERCIO E DE SERVICOS;X97;AGRESSAO P/MEIO DE FUMACA FOGO E CHAMAS;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
J672;PULMAO DOS CRIADORES DE PASSAROS;J67;PNEUMONITE HIPERSENSIBILID DEV POEIRAS ORG;J60-J70;DOENÇAS PULMONARES DEVIDAS A AGENTES EXTERNOS;10;DOENÇAS DO APARELHO RESPIRATÓRIO
F88;OUTR TRANST DO DESENVOLV PSICOLOGICO;F88;OUTR TRANST DO DESENVOLV PSICOLOGICO;F80-F89;TRANSTORNOS DO DESENVOLVIMENTO PSICOLÓGICO;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
X479;LOCAL NE;X47;INTOX ACID OUTR GASES E VAPORES;X40-X49;ENVENENAMENTO [INTOXICAÇÃO] ACIDENTAL POR E EXPOSIÇÃO À SUBSTÂNCIAS NOCIVAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X197;FAZENDA;X19;CONTATO OUTR FONTES CALOR SUBST QUENTES NE;X10-X19;CONTATO COM UMA FONTE DE CALOR OU COM SUBSTÂNCIAS QUENTES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
C85;LINFOMA NAO-HODGKIN DE OUTR TIPOS E TIPO NE;C85;LINFOMA NAO-HODGKIN DE OUTR TIPOS E TIPO NE;C81-C96;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO TECIDO LINFÁTICO, HEMATOPOÉTICO E DE TECIDOS CORRELATOS;2;NEOPLASIAS [TUMORES]
F12;TRANST MENTAIS COMPORT DEV USO CANABINOIDES;F12;TRANST MENTAIS COMPORT DEV USO CANABINOIDES;F10-F19;TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SUBSTÂNCIA PSICOATIVA;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
B38;COCCIDIOIDOMICOSE;B38;COCCIDIOIDOMICOSE;B35-B49;MICOSES;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
F447;TRANST DISSOCIATIVO MISTO;F44;TRANST DISSOCIATIVOS;F40-F48;"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
X469;LOCAL NE;X46;ENVENEN ACID SOLV ORG HIDROCARB HALOG VAPOR;X40-X49;ENVENENAMENTO [INTOXICAÇÃO] ACIDENTAL POR E EXPOSIÇÃO À SUBSTÂNCIAS NOCIVAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
T531;CLOROFORMIO;T53;EFEITO TOX DERIV HALOG HIDROCARB ALIF AROMAT;T51-T65;EFEITOS TÓXICOS DE SUBSTÂNCIAS DE ORIGEM PREDOMINANTEMENTE NÃO MEDICINAL;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
B82;PARASITOSE INTESTINAL NE;B82;PARASITOSE INTESTINAL NE;B65-B83;HELMINTÍASES;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
V770;CONDUTOR ACID N-TRANS;V77;OCUP ONIBUS TRAUM COLIS OBJETO FIXO PARADO;V70-V79;OCUPANTE DE UM ÔNIBUS TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
I098;OUTR DOENC REUMATICAS ESPEC DO CORACAO;I09;OUTR DOENC REUMATICAS DO CORACAO;I05-I09;DOENÇAS REUMÁTICAS CRÔNICAS DO CORAÇÃO;9;DOENÇAS DO APARELHO CIRCULATÓRIO
F113;SINDR DE ABSTINENCIA;F11;TRANST MENTAIS E COMPORT DEV USO DE OPIACEOS;F10-F19;TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SUBSTÂNCIA PSICOATIVA;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
E671;HIPERCAROTENEMIA;E67;OUTR FORM DE HIPERALIMENTACAO;E65-E68;OBESIDADE E OUTRAS FORMAS DE HIPERALIMENTAÇÃO;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
K571;DOENC DIVERT INTEST DELGADO S/PERFUR ABSCES;K57;DOENC DIVERTICULAR DO INTESTINO;K55-K63;OUTRAS DOENÇAS DOS INTESTINOS;11;DOENÇAS DO APARELHO DIGESTIVO
E124;C/COMPL NEUROLOGICAS;E12;DIABETES MELLITUS RELAC C/A DESNUTR;E10-E14;DIABETES MELLITUS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
W091;HABITACAO COLETIVA;W09;QUEDA ENVOLV EQUIPAMENTO DE PLAYGROUND;W00-W19;QUEDAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
H473;OUTR TRANST DO DISCO OPTICO;H47;OUTR TRANST DO NERVO OPTICO E VIAS OPTICAS;H46-H48;TRANSTORNOS DO NERVO ÓPTICO E DAS VIAS ÓPTICAS;7;DOENÇAS DO OLHO E ANEXOS
T415;GASES TERAPEUTICOS;T41;INTOX P/ANESTESICOS E GASES TERAPEUTICOS;T36-T50;INTOXICAÇÃO POR DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
Z961;PRESENCA DE LENTE INTRA-OCULAR;Z96;PRESENCA DE OUTR IMPLANTES FUNCIONAIS;Z80-Z99;PESSOAS COM RISCOS POTENCIAIS À SAÚDE RELACIONADOS COM HISTÓRIA FAMILIAR E PESSOAL E ALGUMAS AFECÇÕES QUE INFLUENCIAM O ESTADO DE SAÚDE;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
X75;LESAO AUTOPROV INTENC P/DISP EXPLOSIVOS;X75;LESAO AUTOPROV INTENC P/DISP EXPLOSIVOS;X60-X84;LESÕES AUTOPROVOCADAS INTENCIONALMENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Q553;ATRESIA DO CANAL DEFERENTE;Q55;OUTR MALFORMACOES CONGEN ORG GENITAIS MASC;Q50-Q56;MALFORMAÇÕES CONGÊNITAS DOS ÓRGÃOS GENITAIS;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
X34;VITIMA DE TERREMOTO;X34;VITIMA DE TERREMOTO;X30-X39;EXPOSIÇÃO ÀS FORÇAS DA NATUREZA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Y090;RESIDENCIA;Y09;AGRESSAO P/MEIOS NE;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
K149;DOENC DA LINGUA SOE;K14;DOENC DA LINGUA;K00-K14;DOENÇAS DA CAVIDADE ORAL, DAS GLÂNDULAS SALIVARES E DOS MAXILARES;11;DOENÇAS DO APARELHO DIGESTIVO
Y288;OUTR LOCAIS ESPEC;Y28;CONTATO OBJ CORTANTE PENETRANTE INTENC N DET;Y10-Y34;EVENTOS (FATOS) CUJA INTENÇÃO É INDETERMINADA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
S008;TRAUM SUPERF DE OUTR PARTES DA CABECA;S00;TRAUM SUPERF DA CABECA;S00-S09;TRAUMATISMOS DA CABEÇA;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
F513;SONAMBULISMO;F51;TRANST NAO-ORGANICOS SONO DEV FAT EMOCIONAIS;F50-F59;SÍNDROMES COMPORTAMENTAIS ASSOCIADAS A DISFUNÇÕES FISIOLÓGICAS E A FATORES FÍSICOS;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
G73;TRANST JUNCAO MIONEURAL MUSCULOS DOENC COP;G73;TRANST JUNCAO MIONEURAL MUSCULOS DOENC COP;G70-G73;DOENÇAS DA JUNÇÃO MIONEURAL E DOS MÚSCULOS;6;DOENÇAS DO SISTEMA NERVOSO
I708;ATEROSCLEROSE DE OUTR ARTERIAS;I70;ATEROSCLEROSE;I70-I79;DOENÇAS DAS ARTÉRIAS, DAS ARTERÍOLAS E DOS CAPILARES;9;DOENÇAS DO APARELHO CIRCULATÓRIO
Z582;EXPOSICAO A POLUICAO DA AGUA;Z58;PROBLEMAS RELACIONADOS C/O AMBIENTE FISICO;Z55-Z65;PESSOAS COM RISCOS POTENCIAIS À SAÚDE RELACIONADOS COM CIRCUNSTÂNCIAS SOCIOECONÔMICAS E PSICOSSOCIAIS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
K255;CRONICA OU NE C/PERFURACAO;K25;ULCERA GASTRICA;K20-K31;DOENÇAS DO ESÔFAGO, DO ESTÔMAGO E DO DUODENO;11;DOENÇAS DO APARELHO DIGESTIVO
O209;HEMORRAGIA DO INICIO DA GRAVIDEZ NE;O20;HEMORRAGIA DO INICIO DA GRAVIDEZ;O20-O29;OUTROS TRANSTORNOS MATERNOS RELACIONADOS PREDOMINANTEMENTE COM A GRAVIDEZ;15;GRAVIDEZ, PARTO E PUERPÉRIO
M41;ESCOLIOSE;M41;ESCOLIOSE;M40-M43;DORSOPATIAS DEFORMANTES;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
T373;OUTR MEDICAMENTOS ANTIPROTOZOARIOS;T37;INTOX OUTR SUBST ANTIINFECC ANTIPARASIT SIST;T36-T50;INTOXICAÇÃO POR DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
R578;OUTR FORM DE CHOQUE;R57;CHOQUE NCOP;R50-R69;SINTOMAS E SINAIS GERAIS;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
P39;OUTR INFECC ESPECIFICAS DO PERIODO PERINATAL;P39;OUTR INFECC ESPECIFICAS DO PERIODO PERINATAL;P35-P39;INFECÇÕES ESPECÍFICAS DO PERÍODO PERINATAL;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
K083;RAIZ DENTARIA RETIDA;K08;OUTR TRANST DENTES E ESTRUT DE SUSTENTACAO;K00-K14;DOENÇAS DA CAVIDADE ORAL, DAS GLÂNDULAS SALIVARES E DOS MAXILARES;11;DOENÇAS DO APARELHO DIGESTIVO
W747;FAZENDA;W74;AFOGAMENTO E SUBMERSAO NE;W65-W74;AFOGAMENTO E SUBMERSÃO ACIDENTAIS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
M059;ARTRITE REUMATOIDE SORO-POSITIVA NE;M05;ARTRITE REUMATOIDE SORO-POSITIVA;M05-M14;POLIARTROPATIAS INFLAMATÓRIAS;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
S934;ENTORSE E DISTENSAO DO TORNOZELO;S93;LUXAC ENTORS DISTENS ARTIC LIG NIV TORNOZ PE;S90-S99;TRAUMATISMOS DO TORNOZELO E DO PÉ;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
C833;GRANDES CELULAS;C83;LINFOMA NAO-HODGKIN DIFUSO;C81-C96;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO TECIDO LINFÁTICO, HEMATOPOÉTICO E DE TECIDOS CORRELATOS;2;NEOPLASIAS [TUMORES]
F640;TRANSEXUALISMO;F64;TRANST DA IDENTIDADE SEXUAL;F60-F69;TRANSTORNOS DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
J998;TRANST RESPIRAT EM OUTR DOENC COP;J99;TRANST RESPIRAT EM DOENC COP;J95-J99;OUTRAS DOENÇAS DO APARELHO RESPIRATÓRIO;10;DOENÇAS DO APARELHO RESPIRATÓRIO
N360;FISTULA URETRAL;N36;OUTR TRANST DA URETRA;N30-N39;OUTRAS DOENÇAS DO APARELHO URINÁRIO;14;DOENÇAS DO APARELHO GENITURINÁRIO
Y330;RESIDENCIA;Y33;OUTR FATOS OU EVENTOS ESPEC INTENC N DET;Y10-Y34;EVENTOS (FATOS) CUJA INTENÇÃO É INDETERMINADA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
C671;CUPULA DA BEXIGA;C67;NEOPL MALIG DA BEXIGA;C64-C68;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO TRATO URINÁRIO;2;NEOPLASIAS [TUMORES]
Q861;SINDR FETAL DEV HIDANTOINA;Q86;SINDR C/MALF CONG DEV CAUSAS EXOG CONH NCOP;Q80-Q89;OUTRAS MALFORMAÇÕES CONGÊNITAS;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
S999;TRAUM NE DO TORNOZELO E DO PE;S99;OUTR TRAUM E OS NE DO TORNOZELO E DO PE;S90-S99;TRAUMATISMOS DO TORNOZELO E DO PÉ;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
C780;NEOPL MALIG SECUND DOS PULMOES;C78;NEOPL MALIG SECUND ORG RESPIRAT E DIGESTIVOS;C76-C80;NEOPLASIAS [TUMORES] MALIGNAS(OS) DE LOCALIZAÇÕES MAL DEFINIDAS, SECUNDÁRIAS E DE LOCALIZAÇÕES NÃO ESPECIFICADAS;2;NEOPLASIAS [TUMORES]
M891;PARADA DE CRESCIMENTO EPIFISARIO;M89;OUTR TRANST OSSEOS;M86-M90;OUTRAS OSTEOPATIAS;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
X337;FAZENDA;X33;VITIMA DE RAIO;X30-X39;EXPOSIÇÃO ÀS FORÇAS DA NATUREZA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
